Player,Rating,KFactor,NumGames
10001,2195,15,30
10003,2225,25,17
10004,2159,15,30
10008,2503,10,30
10018,2240,15,30
10020,2269,15,30
10021,2035,25,12
10026,2188,15,30
10030,2375,10,30
10039,2435,10,30
10041,2111,15,30
10047,2361,15,30
10049,2206,15,30
10051,2256,15,30
10054,2310,15,30
10056,2114,15,30
10058,2226,25,18
10061,2425,10,30
10066,2265,15,30
10068,2402,10,30
10072,2195,15,30
10076,2176,15,30
10082,2300,10,30
10084,2316,15,30
10086,2417,10,30
10088,2136,15,30
10089,2003,15,30
10091,2177,15,30
10105,2183,15,30
10111,2384,25,17
10118,2271,15,30
10123,2270,15,30
10124,2299,25,15
10125,2343,25,21
10133,2081,25,9
10139,2411,10,30
10144,2035,25,15
10145,2264,15,30
10146,2087,15,30
10148,2183,25,14
10152,2252,15,30
10153,2278,15,30
10164,2364,10,30
10168,2166,15,30
10175,2361,15,30
10179,2548,10,30
10180,2257,25,26
10186,2413,15,30
10190,2512,10,30
10194,2229,15,30
10200,2040,15,30
10203,2128,15,30
10206,2059,15,30
10208,2195,15,30
10211,2242,25,13
10216,2202,15,30
10218,2164,15,30
10224,2123,15,30
10228,2282,15,30
10230,2298,25,11
10245,2138,15,30
10254,2019,25,14
10260,2324,15,30
10265,2228,15,30
10268,2334,15,30
10271,2135,25,9
10275,2189,25,22
10276,2077,15,30
10278,2164,25,17
10292,2097,25,22
10297,2091,15,30
10301,2280,15,30
10305,2096,15,30
10310,2165,15,30
10312,2101,15,30
10313,2161,25,19
10316,2359,15,30
10329,2283,15,30
10335,2102,15,30
10337,2327,15,30
10339,2125,25,29
10341,2485,10,30
10342,2259,25,22
10345,2355,15,30
10350,2510,10,30
10351,2381,10,30
10358,2199,15,30
10365,2241,15,30
10369,2368,10,30
10370,2077,15,30
10375,2289,15,30
10379,2065,15,30
10381,2277,25,23
10392,2080,15,30
10401,2245,15,30
10406,2558,10,30
10411,2471,10,30
10413,2348,10,30
10417,2076,15,30
10418,2249,15,30
10422,2244,15,30
10428,2173,15,30
10435,2104,15,30
10439,2079,15,30
10440,2151,15,30
10444,2304,15,30
10448,2296,15,30
10456,2344,10,30
10457,2219,15,30
10459,2122,15,30
10460,2084,25,21
10461,2303,15,30
10467,2053,25,9
10471,2442,10,30
10475,2095,25,19
10483,2087,25,9
10484,2118,15,30
10489,2330,15,30
10492,2188,15,30
10497,2073,15,30
10500,2302,15,30
10506,2427,10,30
10512,2154,15,30
10518,2102,15,30
10527,2285,15,30
10532,2388,10,30
10538,2091,25,12
10542,2268,15,30
10545,2321,15,30
10547,2668,10,30
10566,2174,15,30
10568,2393,10,30
10583,2197,15,30
10592,2098,25,11
10594,2108,15,30
10595,2146,15,30
10601,2348,10,30
10609,2679,10,30
10620,2052,15,30
10624,2245,25,17
10629,2253,15,30
10631,2325,15,30
10632,2197,15,30
10633,2115,25,12
10638,2166,15,30
10646,2252,25,13
10655,2030,25,20
10656,2224,15,30
10675,2283,15,30
10677,2180,15,30
10678,2484,10,30
10681,2352,15,30
10691,2072,15,30
10698,2117,15,30
10699,2252,15,30
